UserID,Version,Age,IncomeBracket,CreditScoreRange,ExistingCustomer,SessionDuration_seconds,ApplicationCompleted
1001,A,64,Medium,Poor,True,301,False
1002,B,29,High,Good,False,172,False
1003,B,33,High,Excellent,False,279,False
1004,B,41,Low,Poor,True,137,False
1005,A,36,Low,Excellent,False,98,False
1006,A,25,Medium,Good,True,276,False
1007,A,48,Medium,Fair,False,290,False
1008,B,38,High,Poor,True,311,False
1009,B,34,Very High,Good,False,108,False
1010,B,40,Medium,Good,True,180,False
1011,A,54,Low,Good,False,217,False
1012,B,71,High,Poor,True,426,False
1013,B,33,Medium,Poor,False,359,False
1014,A,23,High,Fair,False,554,False
1015,A,25,Medium,Fair,False,395,False
1016,A,42,High,Fair,False,391,False
1017,A,35,Low,Fair,False,359,False
1018,B,42,Medium,Good,False,218,False
1019,A,29,Medium,Excellent,False,124,False
1020,A,32,Medium,Fair,True,172,False
1021,B,43,Low,Excellent,False,37,False
1022,A,58,High,Fair,False,96,False
1023,A,62,High,Good,False,525,False
1024,A,43,Low,Fair,False,220,False
1025,A,64,Low,Good,True,395,False
1026,B,49,Low,Excellent,True,797,True
1027,A,27,Medium,Good,False,550,False
1028,B,33,Medium,Fair,False,146,False
1029,B,24,Medium,Good,False,296,False
1030,A,34,Low,Poor,False,490,False
1031,B,40,Medium,Excellent,False,514,True
1032,A,43,Medium,Good,True,538,False
1033,A,38,Medium,Fair,False,327,False
1034,B,39,Very High,Good,False,193,False
1035,B,75,Low,Good,True,405,False
1036,B,24,High,Poor,False,682,True
1037,A,31,Medium,Good,False,297,True
1038,A,32,Medium,Fair,True,578,False
1039,B,70,High,Good,True,103,False
1040,A,24,High,Good,False,537,False
1041,A,26,Very High,Good,True,643,True
1042,A,68,Low,Good,False,337,False
1043,A,65,Low,Good,False,228,False
1044,B,25,High,Poor,False,159,False
1045,A,67,Medium,Good,False,511,False
1046,B,40,Medium,Fair,True,394,False
1047,A,46,Low,Good,False,104,False
1048,B,35,Low,Fair,True,210,False
1049,B,48,High,Poor,False,597,False
1050,A,47,Low,Good,True,130,False
1051,B,69,Medium,Poor,False,406,False
1052,B,56,Low,Good,True,516,False
1053,B,52,Medium,Fair,True,250,False
1054,B,35,Low,Poor,True,180,False
1055,B,59,Medium,Good,True,425,False
1056,B,56,Low,Poor,False,235,False
1057,A,34,High,Fair,True,208,False
1058,A,31,Low,Good,False,226,True
1059,A,48,Medium,Poor,False,244,False
1060,A,41,High,Good,False,118,False
1061,A,52,High,Poor,True,550,False
1062,A,61,Medium,Fair,True,463,False
1063,B,62,Medium,Good,False,539,False
1064,A,51,Medium,Fair,True,255,False
1065,A,20,High,Poor,True,212,False
1066,B,54,Very High,Fair,False,238,False
1067,A,60,High,Fair,False,522,False
1068,B,57,Medium,Good,False,159,False
1069,A,43,High,Fair,True,365,False
1070,B,72,Medium,Good,False,188,True
1071,B,40,Low,Excellent,True,542,False
1072,A,61,Medium,Fair,True,397,False
1073,A,56,Very High,Excellent,False,199,False
1074,B,32,Low,Fair,True,135,False
1075,B,73,High,Excellent,True,404,True
1076,B,66,Low,Poor,True,179,False
1077,B,21,Medium,Good,False,736,True
1078,A,46,Low,Good,False,228,False
1079,A,39,Medium,Fair,False,128,False
1080,A,42,High,Good,False,276,False
1081,B,30,Medium,Good,True,268,False
1082,B,35,High,Poor,False,197,False
1083,A,50,High,Fair,True,221,False
1084,A,33,Very High,Good,True,354,False
1085,A,62,Low,Good,False,409,False
1086,A,59,Medium,Excellent,False,396,False
1087,B,61,Low,Good,True,496,False
1088,B,19,Very High,Excellent,True,396,False
1089,B,72,Very High,Good,True,347,False
1090,A,52,Medium,Fair,True,173,False
1091,A,59,High,Poor,False,413,False
1092,B,51,Medium,Good,False,245,False
1093,B,47,Medium,Good,False,390,False
1094,B,72,Low,Poor,False,353,False
1095,B,30,High,Fair,True,44,False
1096,A,30,Low,Excellent,False,246,False
1097,B,35,High,Good,False,521,True
1098,A,49,High,Fair,False,576,True
1099,A,49,High,Good,False,212,False
1100,A,52,Low,Fair,False,299,False
1101,A,56,Medium,Fair,True,496,False
1102,B,63,Medium,Fair,False,113,False
1103,A,69,Medium,Poor,True,557,False
1104,B,46,Low,Good,True,548,False
1105,B,66,Very High,Fair,True,571,False
1106,A,46,Medium,Good,True,496,False
1107,A,70,Medium,Excellent,False,334,False
1108,B,61,Medium,Fair,False,173,False
1109,A,74,Medium,Good,False,140,False
1110,A,33,Medium,Good,False,261,False
1111,A,73,Medium,Excellent,False,48,False
1112,A,61,Very High,Fair,True,36,False
1113,B,64,Medium,Good,True,751,True
1114,B,74,Very High,Good,False,761,True
1115,B,27,High,Fair,False,354,False
1116,B,47,Low,Poor,False,529,True
1117,B,42,Very High,Good,True,326,False
1118,A,56,Low,Good,True,583,False
1119,B,37,High,Fair,False,302,False
1120,B,22,Medium,Good,True,387,False
1121,B,18,High,Fair,True,202,False
1122,B,47,High,Good,False,36,False
1123,A,66,High,Fair,True,184,False
1124,A,20,High,Excellent,False,551,True
1125,A,62,Medium,Fair,True,575,False
1126,A,31,Low,Fair,True,577,False
1127,B,73,Medium,Poor,True,547,False
1128,B,47,Low,Poor,False,244,False
1129,A,67,High,Good,True,163,True
1130,B,21,Medium,Fair,False,314,True
1131,A,35,Very High,Good,True,155,False
1132,A,54,Medium,Poor,False,468,False
1133,A,42,High,Fair,True,200,False
1134,A,65,Low,Fair,False,715,True
1135,B,18,High,Poor,False,181,False
1136,A,70,Very High,Poor,False,360,True
1137,B,63,Medium,Fair,True,567,False
1138,B,32,Medium,Good,True,412,False
1139,A,26,High,Fair,True,144,False
1140,B,32,Low,Good,False,511,False
1141,B,66,Medium,Good,False,313,False
1142,A,74,Medium,Poor,False,104,False
1143,A,41,Low,Good,True,195,False
1144,A,21,Medium,Excellent,True,218,False
1145,A,29,Low,Good,True,107,False
1146,A,75,Low,Good,False,156,False
1147,B,54,Low,Fair,False,717,True
1148,B,54,Very High,Good,False,50,False
1149,A,60,Medium,Good,True,595,True
1150,A,23,Very High,Good,False,213,False
1151,B,56,Medium,Excellent,False,546,False
1152,A,73,Medium,Poor,True,251,False
1153,A,63,Medium,Poor,False,86,False
1154,A,41,Medium,Good,False,357,False
1155,B,28,Low,Good,False,208,False
1156,A,30,Medium,Poor,False,416,False
1157,B,51,Low,Fair,True,141,False
1158,B,42,Medium,Poor,True,581,False
1159,A,24,High,Fair,False,266,False
1160,B,69,Low,Good,True,88,False
1161,A,21,Low,Good,False,356,False
1162,B,25,High,Fair,False,138,False
1163,B,37,Medium,Fair,False,213,False
1164,B,46,Low,Poor,False,220,False
1165,A,71,Very High,Fair,True,229,False
1166,B,70,Low,Good,True,341,False
1167,A,68,High,Excellent,True,230,False
1168,A,62,Very High,Good,False,441,True
1169,A,63,Low,Poor,True,408,False
1170,B,27,Low,Excellent,True,416,False
1171,B,60,Low,Good,False,583,False
1172,A,51,Medium,Good,False,266,False
1173,B,74,Low,Good,True,46,False
1174,A,43,High,Fair,True,548,True
1175,B,58,Low,Fair,False,312,False
1176,A,66,Medium,Poor,True,30,False
1177,B,75,Very High,Fair,True,452,False
1178,A,20,High,Fair,True,493,False
1179,B,73,Medium,Good,False,259,False
1180,A,23,Medium,Good,True,201,False
1181,A,22,Medium,Good,False,116,False
1182,A,22,Medium,Poor,False,582,False
1183,B,71,Medium,Excellent,False,152,True
1184,B,64,Low,Excellent,True,872,True
1185,A,40,High,Good,False,327,True
1186,B,66,Medium,Excellent,False,314,False
1187,B,26,Low,Good,False,336,False
1188,B,52,Medium,Excellent,False,513,True
1189,B,37,Medium,Poor,False,194,False
1190,A,75,High,Fair,False,239,False
1191,A,66,High,Fair,False,412,False
1192,B,59,High,Fair,False,238,False
1193,B,52,Low,Poor,True,238,False
1194,B,67,Medium,Good,True,461,False
1195,A,35,Medium,Good,True,418,True
1196,A,34,Low,Good,False,589,False
1197,B,41,Medium,Poor,False,253,True
1198,B,20,High,Good,False,32,False
1199,B,49,Low,Good,False,401,False
1200,B,52,Medium,Fair,False,394,False
1201,B,55,Low,Good,False,475,False
1202,A,30,Low,Fair,True,462,False
1203,A,73,Low,Fair,False,145,False
1204,B,64,Very High,Excellent,True,299,False
1205,B,42,High,Fair,True,476,False
1206,A,26,Very High,Good,True,397,False
1207,A,21,Medium,Excellent,True,282,False
1208,B,31,Low,Good,False,346,False
1209,A,54,Medium,Poor,False,444,False
1210,A,51,Medium,Poor,True,124,False
1211,B,28,High,Poor,False,111,False
1212,B,58,Low,Good,False,53,False
1213,B,73,Medium,Fair,True,191,False
1214,A,20,Low,Poor,False,431,False
1215,B,45,Medium,Excellent,True,879,True
1216,A,46,High,Good,False,79,False
1217,A,26,Medium,Fair,False,531,False
1218,B,20,Medium,Good,True,229,False
1219,B,42,Medium,Good,True,527,False
1220,B,51,Medium,Poor,False,364,False
1221,B,29,High,Fair,False,108,False
1222,B,59,High,Good,True,33,False
1223,A,26,Very High,Good,False,56,False
1224,A,32,High,Good,False,300,False
1225,A,57,Medium,Fair,False,591,False
1226,A,42,High,Poor,False,179,False
1227,B,22,Medium,Fair,False,276,False
1228,A,28,Medium,Fair,False,340,False
1229,B,51,High,Fair,False,620,True
1230,B,41,Low,Poor,True,416,False
1231,B,32,Very High,Good,True,380,False
1232,B,55,Medium,Excellent,True,588,False
1233,B,25,Medium,Good,False,390,False
1234,A,22,High,Excellent,False,387,False
1235,A,65,High,Fair,True,517,False
1236,B,43,Medium,Excellent,False,381,False
1237,A,35,Medium,Fair,False,492,False
1238,A,23,Low,Excellent,True,285,False
1239,B,54,Medium,Excellent,False,251,False
1240,A,65,Low,Good,True,347,False
1241,B,30,High,Excellent,True,810,True
1242,B,45,Medium,Good,False,30,False
1243,B,22,High,Fair,False,575,False
1244,A,30,Low,Fair,True,475,False
1245,A,34,Low,Good,False,617,True
1246,B,67,High,Poor,False,265,False
1247,A,57,Low,Good,True,363,False
1248,B,62,Low,Excellent,True,378,False
1249,B,49,Low,Fair,False,127,False
1250,B,46,Very High,Good,True,809,True
1251,A,68,High,Excellent,False,531,False
1252,A,75,Medium,Excellent,False,506,False
1253,B,20,Medium,Excellent,False,103,False
1254,A,73,Medium,Good,True,538,False
1255,A,57,High,Excellent,False,579,False
1256,B,51,High,Good,False,43,False
1257,B,57,Low,Fair,True,421,False
1258,B,44,Low,Good,True,376,False
1259,B,30,Low,Good,True,339,True
1260,A,62,High,Fair,False,415,False
1261,B,50,High,Good,False,238,False
1262,B,23,Medium,Good,True,386,False
1263,A,41,Low,Fair,False,306,False
1264,B,36,Low,Good,True,597,False
1265,B,33,Very High,Good,False,123,False
1266,B,57,Medium,Good,True,122,False
1267,B,45,High,Poor,False,369,False
1268,B,50,Medium,Poor,False,197,False
1269,A,65,Medium,Fair,False,474,False
1270,A,58,Low,Excellent,True,85,False
1271,B,30,Low,Fair,True,51,False
1272,B,60,Medium,Good,False,320,False
1273,B,62,High,Fair,True,514,False
1274,B,42,Medium,Fair,True,291,False
1275,B,70,Medium,Good,True,335,False
1276,B,59,Low,Good,False,384,False
1277,B,53,Very High,Poor,False,157,False
1278,B,44,High,Fair,False,209,False
1279,B,55,Medium,Poor,True,302,False
1280,B,24,Very High,Good,True,503,False
1281,B,22,Medium,Good,False,471,False
1282,A,60,Medium,Poor,False,532,False
1283,A,62,High,Fair,True,159,False
1284,A,75,High,Fair,False,161,False
1285,B,74,High,Excellent,True,113,False
1286,A,68,Low,Excellent,False,511,False
1287,A,48,Medium,Poor,True,522,False
1288,B,40,Very High,Good,False,419,False
1289,A,59,Low,Fair,False,382,False
1290,B,27,Medium,Fair,False,354,False
1291,A,49,Medium,Good,True,98,False
1292,A,60,Medium,Excellent,False,576,False
1293,B,70,Medium,Excellent,False,477,False
1294,A,47,Very High,Good,True,557,False
1295,A,56,Low,Fair,False,146,False
1296,B,48,Low,Good,False,145,False
1297,B,35,Low,Fair,False,194,False
1298,A,53,High,Good,False,517,True
1299,B,19,Medium,Fair,True,95,False
1300,A,31,Medium,Good,False,476,False
1301,A,30,High,Fair,True,455,False
1302,B,46,High,Fair,False,493,False
1303,B,29,High,Excellent,False,580,False
1304,B,56,Very High,Poor,False,294,False
1305,B,19,Medium,Good,True,120,False
1306,B,49,High,Fair,True,371,False
1307,B,30,Medium,Poor,False,243,False
1308,A,63,High,Poor,False,364,False
1309,B,44,High,Fair,False,307,False
1310,A,66,High,Excellent,False,78,False
1311,A,58,High,Fair,False,468,False
1312,A,34,Low,Excellent,True,186,False
1313,A,57,Medium,Good,True,451,False
1314,B,48,Very High,Fair,True,280,True
1315,B,51,Very High,Good,True,402,False
1316,B,41,Low,Good,False,559,False
1317,A,62,Low,Good,False,356,False
1318,A,52,Low,Fair,False,126,False
1319,A,65,High,Fair,True,542,False
1320,A,23,High,Excellent,True,245,False
1321,B,36,Low,Excellent,True,161,False
1322,B,47,Medium,Excellent,True,289,False
1323,B,24,High,Fair,False,154,False
1324,A,27,High,Good,True,111,False
1325,B,58,Medium,Good,False,312,False
1326,B,49,Medium,Good,True,493,False
1327,B,51,Medium,Fair,False,88,False
1328,B,45,Medium,Good,False,573,False
1329,A,32,Medium,Fair,True,190,False
1330,A,47,High,Fair,False,313,False
1331,A,54,High,Excellent,False,135,False
1332,B,46,Medium,Fair,False,134,True
1333,A,39,High,Poor,True,468,False
1334,A,21,Low,Poor,False,257,False
1335,A,37,Medium,Excellent,False,455,False
1336,A,49,Low,Good,False,216,False
1337,B,53,Low,Fair,False,347,False
1338,B,67,High,Good,False,493,False
1339,A,21,Very High,Good,False,253,False
1340,A,44,Low,Fair,False,380,False
1341,A,34,Medium,Good,False,501,False
1342,A,29,High,Good,False,85,False
1343,A,39,Low,Good,False,208,False
1344,A,34,Medium,Fair,False,42,False
1345,A,27,High,Excellent,False,469,False
1346,B,71,Medium,Good,True,47,False
1347,B,18,Low,Fair,False,552,False
1348,A,39,Medium,Fair,False,142,True
1349,A,43,High,Poor,False,258,False
1350,B,73,Medium,Poor,False,200,False
1351,B,35,Low,Good,True,324,False
1352,B,67,High,Poor,False,218,False
1353,B,31,Low,Fair,True,455,False
1354,A,64,High,Good,False,230,True
1355,A,46,Low,Poor,False,476,False
1356,B,29,Very High,Excellent,False,211,True
1357,A,53,Medium,Fair,True,528,False
1358,B,52,Medium,Fair,False,310,False
1359,B,69,Low,Fair,True,80,False
1360,B,29,Medium,Fair,True,155,False
1361,A,24,High,Poor,True,287,False
1362,B,46,Very High,Good,True,259,False
1363,A,28,Medium,Excellent,False,39,False
1364,B,50,Medium,Fair,False,100,False
1365,B,23,High,Good,True,277,False
1366,A,64,High,Good,False,175,False
1367,B,32,Medium,Good,True,416,False
1368,B,49,Medium,Fair,False,247,False
1369,A,68,Medium,Fair,False,325,False
1370,A,28,High,Fair,False,259,False
1371,A,75,Low,Good,False,499,False
1372,A,40,Medium,Good,False,535,True
1373,A,43,Medium,Fair,True,222,False
1374,B,51,High,Fair,False,97,False
1375,A,63,Low,Excellent,True,523,True
1376,A,51,Medium,Good,False,846,True
1377,B,46,Medium,Excellent,False,166,True
1378,A,21,Medium,Good,False,392,False
1379,B,34,Low,Fair,True,340,False
1380,A,52,Medium,Good,False,503,False
1381,A,30,Medium,Good,True,184,False
1382,B,58,Medium,Poor,False,550,False
1383,B,56,Medium,Good,True,387,False
1384,B,32,High,Good,True,460,False
1385,B,72,High,Fair,False,228,False
1386,B,46,Medium,Good,False,327,False
1387,A,46,High,Good,True,464,True
1388,A,28,Medium,Excellent,True,477,False
1389,B,69,Low,Poor,False,293,False
1390,B,49,Low,Fair,False,227,False
1391,B,19,Medium,Good,False,157,False
1392,A,64,High,Fair,True,561,False
1393,A,31,High,Good,True,440,False
1394,B,37,High,Good,True,869,True
1395,A,39,Medium,Poor,True,94,False
1396,B,28,Medium,Good,False,113,False
1397,B,44,Low,Good,False,270,False
1398,A,20,Medium,Fair,True,398,False
1399,B,34,Medium,Excellent,True,565,False
1400,B,61,Low,Good,True,413,False
1401,A,73,Low,Good,False,460,False
1402,B,45,Medium,Good,False,112,False
1403,B,46,High,Good,True,860,True
1404,B,38,Very High,Excellent,True,726,True
1405,A,64,Very High,Good,False,534,False
1406,B,33,Medium,Good,False,540,False
1407,A,54,Medium,Excellent,False,570,False
1408,A,37,Medium,Fair,True,315,False
1409,B,23,High,Good,True,563,False
1410,A,36,Low,Fair,False,488,False
1411,A,74,Medium,Fair,True,241,False
1412,B,22,High,Fair,True,155,False
1413,B,20,Medium,Excellent,False,442,False
1414,B,18,Medium,Excellent,True,528,False
1415,B,75,Medium,Good,False,454,True
1416,A,55,Low,Good,True,583,False
1417,A,32,Medium,Good,True,158,False
1418,A,51,Medium,Excellent,False,572,True
1419,B,52,Low,Good,True,187,False
1420,B,66,Low,Fair,False,141,False
1421,B,42,High,Fair,False,431,False
1422,B,41,Medium,Good,True,343,False
1423,A,29,Medium,Good,False,151,False
1424,A,35,Medium,Fair,True,302,False
1425,A,32,Very High,Poor,False,323,False
1426,B,61,Medium,Good,True,427,False
1427,A,33,Medium,Poor,False,500,False
1428,B,44,High,Good,True,236,False
1429,A,25,High,Excellent,False,139,False
1430,A,63,Low,Fair,False,469,False
1431,A,42,High,Fair,False,307,False
1432,B,34,Medium,Good,True,597,False
1433,B,46,Medium,Good,True,598,False
1434,A,70,Low,Good,False,511,True
1435,A,25,Low,Excellent,False,524,False
1436,B,32,High,Poor,True,143,False
1437,A,44,Medium,Good,False,245,False
1438,B,63,Medium,Good,True,521,False
1439,B,67,High,Excellent,False,506,True
1440,A,69,High,Fair,True,565,False
1441,A,24,Low,Good,True,350,False
1442,B,20,Medium,Good,False,208,False
1443,A,46,Low,Fair,True,248,False
1444,A,61,High,Poor,False,45,False
1445,B,70,High,Excellent,False,557,False
1446,B,41,Very High,Fair,True,521,False
1447,B,75,Low,Fair,True,90,False
1448,B,20,Low,Fair,False,83,False
1449,A,37,Medium,Excellent,True,144,False
1450,A,63,Medium,Good,False,567,False
1451,B,32,Low,Good,False,426,False
1452,B,42,Very High,Fair,False,94,False
1453,A,47,Low,Good,True,132,False
1454,B,31,Medium,Good,True,207,False
1455,A,24,High,Good,True,344,False
1456,A,34,Medium,Excellent,True,200,False
1457,A,61,High,Poor,False,302,False
1458,A,37,Low,Good,False,190,False
1459,A,53,Medium,Poor,True,564,False
1460,A,26,Low,Good,True,420,False
1461,A,55,Low,Fair,True,484,False
1462,B,65,Very High,Fair,False,356,False
1463,B,74,Low,Fair,True,137,False
1464,B,39,Medium,Good,False,57,False
1465,B,71,Medium,Fair,True,191,False
1466,A,70,Medium,Good,False,576,False
1467,A,70,High,Fair,False,481,False
1468,B,19,Low,Poor,True,235,False
1469,A,41,High,Good,True,354,False
1470,B,25,Very High,Fair,False,45,False
1471,A,28,Medium,Fair,True,356,False
1472,B,30,Very High,Good,False,401,False
1473,A,34,Low,Fair,False,385,False
1474,B,25,Medium,Poor,False,31,False
1475,B,38,Medium,Fair,False,39,False
1476,B,35,High,Excellent,True,463,False
1477,A,47,Very High,Good,True,154,False
1478,B,35,Medium,Good,False,110,False
1479,B,63,High,Good,True,514,False
1480,B,64,Low,Fair,False,413,False
1481,B,48,Medium,Fair,True,867,True
1482,B,55,Medium,Good,True,179,True
1483,A,49,Very High,Poor,False,365,False
1484,B,28,Medium,Fair,True,369,False
1485,B,62,Medium,Fair,False,158,False
1486,B,42,Low,Fair,False,467,False
1487,A,50,Low,Excellent,False,543,False
1488,A,55,Low,Poor,False,530,False
1489,B,58,Medium,Good,False,87,False
1490,B,25,High,Fair,False,227,False
1491,A,28,Medium,Excellent,True,240,False
1492,B,39,Medium,Poor,False,74,False
1493,A,68,Low,Fair,False,126,False
1494,A,41,High,Good,False,308,False
1495,A,58,High,Good,False,564,False
1496,A,34,Low,Fair,True,439,False
1497,B,29,High,Fair,False,490,False
1498,A,74,Medium,Fair,False,420,False
1499,B,63,Low,Fair,True,420,False
